dataset_id,TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,ACTN_CD,ACTN_INTNL_TXT,TRAN_TYPE_CD,ACTVY_DT
1,54.25,0,23,4,634,9/18/2020 9:33:44,charter communications inc,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,55414,MN,7/8/2018 9:45:37,2011-02-19 00:00:00,1/8/2021 11:33:44,1/8/2021,SCHPMT,P2P_COMMIT,P2P,1/8/2021
2,110.3,0,56,3,1876,5/16/2021 17:2:31,comcast,mountain,colorado,ONLN,MOBILE,UN_PWD,ALLOW,77095,TX,,2001-11-20 00:00:00,2/27/2021 7:2:31,2/27/2021,SCHPMT,P2P_COMMIT,P2P,2/27/2021
3,515.95,0,33,5,40,,point broadband fiber holding  llc,mid atlantic,virginia,MOBL,MOBILE,UN_PWD,ALLOW,94102,CA,8/28/2018 1:4:7,1999-10-17 00:00:00,4/22/2021 11:25:16,4/22/2021,SCHPMT,P2P_COMMIT,P2P,4/22/2021
4,42.78,0,60,3,367,2/18/2021 4:5:0,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,93263,CA,7/3/2019 6:29:28,1998-07-03 00:00:00,6/17/2021 11:5:0,6/17/2021,SCHPMT,P2P_COMMIT,P2P,6/17/2021
5,0.01,0,61,12,518,2/18/2018 4:7:20,comcast cable communications  llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,93313,CA,7/8/2020 11:45:37,2002-07-30 00:00:00,5/8/2021 10:0:51,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021
6,471.72,36011.52,39,4,1267,,charter communications inc,southwest,california,MOBL,,AFA_PL,ALLOW,40228,KY,11/27/2021 11:42:52,2020-05-17 00:00:00,6/25/2021 17:58:44,6/25/2021,SCHPMT,P2P_COMMIT,P2P,6/25/2021
7,490.57,2801.23,33,7,-33,4/8/2018 16:24:2,,,,MOBL,MOBILE,UN_PWD,ALLOW,80487,CO,12/14/2020 17:43:26,2004-10-01 00:00:00,3/29/2021 7:24:2,3/29/2021,SCHPMT,P2P_COMMIT,P2P,3/29/2021
8,491.61,2268.13,34,2,3,7/11/2018 17:20:21,,,,ONLN,MOBILE,UN_PWD,ALLOW,84664,UT,5/22/2021 23:6:11,1990-12-27 00:00:00,5/6/2021 12:20:21,5/6/2021,SCHPMT,P2P_COMMIT,P2P,5/6/2021
9,495.25,9528.63,49,7,1188,,t-mobile usa  inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,91007,CA,6/16/2020 15:44:54,1974-06-29 00:00:00,4/21/2021 21:22:42,4/21/2021,SCHPMT,P2P_COMMIT,P2P,4/21/2021
10,2109.81,70905.88,96,2,58,11/12/2021 7:21:39,charter communications,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,95959,CA,6/13/2017 16:54:56,1967-07-26 00:00:00,7/16/2021 15:21:39,7/16/2021,SCHPMT,P2P_COMMIT,P2P,7/16/2021
11,87.16,17495.97,32,32,555,8/2/2017 13:30:33,mediacom communications corp,great lakes,minnesota,MOBL,,FACE_ID,ALLOW,22315,VA,12/2/2018 18:22:16,2007-12-20 00:00:00,7/18/2021 21:30:33,7/18/2021,SCHPMT,P2P_COMMIT,P2P,7/18/2021
12,486.03,4004.28,61,3,0,6/3/2021 17:31:53,,,,ONLN,MOBILE,UN_PWD,ALLOW,92612,CA,5/7/2020 11:2:55,2017-04-01 00:00:00,5/8/2021 12:31:53,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021
13,493.34,2256.28,80,4,0,4/10/2020 14:6:0,cox communications inc.,southwest,arizona,MOBL,DESKTOP,UN_PWD,ALLOW,92571,CA,11/0/2020 11:49:1,1999-02-01 00:00:00,7/13/2021 17:6:0,7/13/2021,SCHPMT,P2P_COMMIT,P2P,7/13/2021
14,455.78,0,63,4,2140,2/7/2018 4:46:24,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89144,NV,,1949-04-13 00:00:00,7/9/2021 20:46:24,7/9/2021,SCHPMT,P2P_COMMIT,P2P,7/9/2021
15,0.01,0,61,3,353,11/18/2017 4:46:3,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,85302,AZ,,1996-09-01 00:00:00,6/27/2021 12:46:3,6/27/2021,SCHPMT,P2P_COMMIT,P2P,6/27/2021
