TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,ACTN_CD,ACTN_INTNL_TXT,TRAN_TYPE_CD,ACTVY_DT,FRAUD_NONFRAUD
5.38,23619.91,47,4,2777,1/16/2018 11:3:58,cox communications inc.,southwest,nevada,MOBL,,UN_PWD,ALLOW,89002,NV,2/24/2021 15:55:10,1993-01-06 00:00:00,5/3/2021 18:3:58,5/3/2021,SCHPMT,P2P_COMMIT,P2P,5/3/2021,Non-Fraud
65.19,0,45,5,2721,,charter communications,southwest,california,MOBL,,FACE_ID,ALLOW,94541,CA,,1971-01-07 00:00:00,1/13/2021 19:19:37,1/13/2021,SCHPMT,P2P_COMMIT,P2P,1/13/2021,Non-Fraud
54.84,34570.63,36,8,1531,12/22/2021 10:42:51,utah broadband llc,mountain,utah,ONLN,DESKTOP,UN_PWD,ALLOW,21811,MD,5/5/2019 1:8:39,1994-02-01 00:00:00,4/8/2021 9:42:51,4/8/2021,SCHPMT,P2P_COMMIT,P2P,4/8/2021,Fraud
0.01,0,62,3,835,2/8/2020 7:28:31,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89822,NV,2/16/2019 6:45:37,2001-11-01 00:00:00,8/10/2021 15:28:31,8/10/2021,SCHPMT,P2P_COMMIT,P2P,8/10/2021,Non-Fraud
497.08,12725.18,81,2,1095,12/28/2020 12:12:44,cogent communications,south central,texas,MOBL,MOBILE,UN_PWD,CHALLENGE_SUCCESS,84108,UT,5/8/2020 10:27:6,1987-02-07 00:00:00,6/27/2021 11:12:44,6/27/2021,SCHPMT,P2P_COMMIT,P2P,6/27/2021,Fraud
488.55,2851.44,45,8,1,3/15/2021 15:36:36,"ultimate internet access, inc",southwest,california,ONLN,MOBILE,TOUCH_ID,ALLOW,80919,CO,5/18/2021 9:50:5,2011-06-13 00:00:00,5/18/2021 14:36:36,5/18/2021,SCHPMT,P2P_COMMIT,P2P,5/18/2021,Fraud
490.6,3018.98,55,7,531,4/30/2021 19:16:2,cox communications inc.,southwest,california,MOBL,,UN_PWD,ALLOW,94061,CA,3/16/2018 16:50:5,1971-10-02 00:00:00,1/8/2021 12:16:2,1/8/2021,SCHPMT,P2P_COMMIT,P2P,1/8/2021,Fraud
468.4,0,56,6,47,5/22/2021 18:34:33,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,92503,CA,7/28/2019 12:4:47,1991-10-30 00:00:00,6/14/2021 12:34:33,6/14/2021,SCHPMT,P2P_COMMIT,P2P,6/14/2021,Non-Fraud
0.01,0,36,6,1182,1/27/2021 16:7:20,cox communications inc.,southwest,california,ONLN,MOBILE,AFA_PL,ALLOW,77565,TX,12/6/2019 6:4:6,2020-07-08 00:00:00,7/4/2021 12:0:51,7/4/2021,SCHPMT,P2P_COMMIT,P2P,7/4/2021,Non-Fraud
14.23,1890.65,72,4,276,4/22/2020 9:56:55,,,,ONLN,,UN_PWD,ALLOW,23225,VA,5/12/2017 10:54:10,1976-12-23 00:00:00,3/3/2021 7:14:46,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021,Fraud
