TRAN_AMT,WF_dvc_age,ALERT_TRGR_CD,DVC_TYPE_TXT,FRAUD_NONFRAUD,CARR_Missing,PH_NUM_UPDT_TS_Missing,PWD_UPDT_TS tm_year,PWD_UPDT_TS tm_hour,PWD_UPDT_TS tm_min,PH_NUM_UPDT_TS tm_year,PH_NUM_UPDT_TS tm_mon,PH_NUM_UPDT_TS tm_hour,PH_NUM_UPDT_TS tm_sec,PH_NUM_UPDT_TS tm_yday
5.38,2777,1,0.0,1,0,0,2018.0,11.0,3.0,2021.0,2.0,15.0,10.0,55.0
65.19,2721,1,0.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
54.84,1531,2,1.0,0,0,0,2021.0,10.0,42.0,2019.0,5.0,1.0,39.0,125.0
0.01,835,1,2.0,1,0,0,2020.0,7.0,28.0,2019.0,2.0,6.0,37.0,47.0
497.08,1095,1,2.0,0,0,0,2020.0,12.0,12.0,2020.0,5.0,10.0,6.0,129.0
488.55,1,2,2.0,0,0,0,2021.0,15.0,36.0,2021.0,5.0,9.0,5.0,138.0
490.6,531,1,0.0,0,0,0,2021.0,19.0,16.0,2018.0,3.0,16.0,5.0,75.0
468.4,47,2,2.0,1,0,0,2021.0,18.0,34.0,2019.0,7.0,12.0,47.0,209.0
0.01,1182,2,2.0,1,0,0,2021.0,16.0,7.0,2019.0,12.0,6.0,6.0,340.0
14.23,276,2,0.0,0,1,0,2020.0,9.0,56.0,2017.0,5.0,10.0,10.0,132.0
0.01,89,2,2.0,1,1,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,7.0,6.0,42.0,197.0
0.01,1594,1,1.0,1,0,1,2017.0,4.0,5.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
492.11,90,1,0.0,0,0,0,2020.0,15.0,57.0,2018.0,5.0,14.0,5.0,121.0
476.36,1200,2,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,5.0,6.0,47.0,126.0
65.18,117,2,2.0,1,0,1,2017.0,2.0,25.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
27.11,45,1,2.0,1,0,0,2020.0,10.0,7.0,2020.0,6.0,19.0,37.0,160.0
458.8,90,2,2.0,1,0,1,2020.0,4.0,11.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
464.94,327,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
578.45,1065,1,2.0,1,0,0,2017.0,17.0,4.0,2018.0,7.0,11.0,46.0,201.0
450.81,748,2,2.0,1,0,1,2020.0,10.0,7.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
491.58,0,2,2.0,0,1,0,2020.0,10.0,20.0,2020.0,5.0,19.0,5.0,137.0
221.88,701,2,0.0,0,1,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,2.0,10.0,48.0,50.0
186.27,1839,1,1.0,0,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
495.04,1193,2,1.0,0,0,1,2020.0,12.0,6.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
29.33,120,2,0.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2017.0,7.0,6.0,17.0,192.0
25.64,326,2,1.0,1,0,1,2020.0,9.0,12.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
488.21,0,1,2.0,0,1,0,2020.0,12.0,32.0,2020.0,5.0,12.0,5.0,139.0
67.81,0,2,2.0,0,0,1,2020.0,11.0,31.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
496.2,1527,2,2.0,0,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
462.16,163,2,2.0,1,0,0,2017.0,15.0,4.0,2019.0,4.0,6.0,37.0,106.0
15.47,189,1,1.0,1,0,1,2018.0,4.0,24.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
22.67,61,1,3.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,499,1,2.0,1,0,1,2017.0,18.0,24.0,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
0.01,1661,2,2.0,1,0,0,2018.0,3.0,31.0,2019.0,10.0,9.0,20.0,283.0
494.25,92,2,0.0,0,0,0,2020.0,0.0,12.0,2019.0,3.0,13.0,5.0,60.0
0.01,51,1,2.0,1,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2019.0,7.0,6.0,37.0,209.0
467.38,35,2,2.0,1,0,1,2019.5170574712645,10.498758620689655,26.472183908045977,2019.2121343133017,6.146418792333189,11.200172935581495,28.2890906470673,169.17394437238795
494.24,695,1,0.0,0,0,0,2019.5170574712645,10.498758620689655,26.472183908045977,2020.0,2.0,10.0,17.0,44.0
3.58,494,2,2.0,1,0,0,2020.0,14.0,19.0,2018.0,7.0,18.0,37.0,182.0
